"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1250","has title","firefox","2026-03-23","passed","2026-03-23","","example.spec.js","",""
"","0","13. Uppercase Email","webkit","2026-03-23","skipped","2026-03-23","Registration Module - 15 Test Cases","register.spec.js","",""
"","0","5. Empty Name","chromium","2026-03-23","skipped","2026-03-23","Registration Module - 15 Test Cases","register.spec.js","",""
"","1","9. Email with spaces","chromium","2026-03-23","skipped","2026-03-23","Registration Module - 15 Test Cases","register.spec.js","",""
"","0","13. Uppercase Email","chromium","2026-03-23","skipped","2026-03-23","Registration Module - 15 Test Cases","register.spec.js","",""
"","0","14. Multiple Click Register","firefox","2026-03-23","skipped","2026-03-23","Registration Module - 15 Test Cases","register.spec.js","",""
"","471","15. SQL Injection","chromium","2026-03-23","passed","2026-03-23","Registration Module - 15 Test Cases","register.spec.js","",""
"","0","10. Password only spaces","chromium","2026-03-23","skipped","2026-03-23","Registration Module - 15 Test Cases","register.spec.js","",""
"","567","get started link","chromium","2026-03-23","passed","2026-03-23","","example.spec.js","",""
"","1057","15. SQL Injection","webkit","2026-03-23","passed","2026-03-23","Registration Module - 15 Test Cases","register.spec.js","",""
"","0","8. Duplicate Email","firefox","2026-03-23","skipped","2026-03-23","Registration Module - 15 Test Cases","register.spec.js","",""
"","4354","1. Valid Registration","webkit","2026-03-23","passed","2026-03-23","Registration Module - 15 Test Cases","register.spec.js","",""
"","1","6. Empty Email","chromium","2026-03-23","skipped","2026-03-23","Registration Module - 15 Test Cases","register.spec.js","",""
"","0","6. Empty Email","firefox","2026-03-23","skipped","2026-03-23","Registration Module - 15 Test Cases","register.spec.js","",""
"","0","9. Email with spaces","firefox","2026-03-23","skipped","2026-03-23","Registration Module - 15 Test Cases","register.spec.js","",""
"","0","10. Password only spaces","firefox","2026-03-23","skipped","2026-03-23","Registration Module - 15 Test Cases","register.spec.js","",""
"","0","4. Empty Fields","webkit","2026-03-23","skipped","2026-03-23","Registration Module - 15 Test Cases","register.spec.js","",""
"","0","7. Empty Password","firefox","2026-03-23","skipped","2026-03-23","Registration Module - 15 Test Cases","register.spec.js","",""
"","0","6. Empty Email","webkit","2026-03-23","skipped","2026-03-23","Registration Module - 15 Test Cases","register.spec.js","",""
"","2818","has title","webkit","2026-03-23","passed","2026-03-23","","example.spec.js","",""
"","0","7. Empty Password","chromium","2026-03-23","skipped","2026-03-23","Registration Module - 15 Test Cases","register.spec.js","",""
"","0","11. Long Name Input","webkit","2026-03-23","skipped","2026-03-23","Registration Module - 15 Test Cases","register.spec.js","",""
"","1443","get started link","webkit","2026-03-23","passed","2026-03-23","","example.spec.js","",""
"","377","has title","chromium","2026-03-23","passed","2026-03-23","","example.spec.js","",""
"","0","10. Password only spaces","webkit","2026-03-23","skipped","2026-03-23","Registration Module - 15 Test Cases","register.spec.js","",""
"","0","14. Multiple Click Register","chromium","2026-03-23","skipped","2026-03-23","Registration Module - 15 Test Cases","register.spec.js","",""
"","0","2. Invalid Email Format","chromium","2026-03-23","skipped","2026-03-23","Registration Module - 15 Test Cases","register.spec.js","",""
"","0","8. Duplicate Email","webkit","2026-03-23","skipped","2026-03-23","Registration Module - 15 Test Cases","register.spec.js","",""
